films,skin_colors,homeworld,edited,created,eye_colors,language,classification,people,url,hair_colors,average_height,name,designation,average_lifespan
"https://swapi.dev/api/films/1/;https://swapi.dev/api/films/2/;https://swapi.dev/api/films/3/;https://swapi.dev/api/films/4/;https://swapi.dev/api/films/5/;https://swapi.dev/api/films/6/",n/a,,"2014-12-20T21:36:42.139000Z","2014-12-10T15:16:16.259000Z",n/a,n/a,artificial,"https://swapi.dev/api/people/2/;https://swapi.dev/api/people/3/;https://swapi.dev/api/people/8/;https://swapi.dev/api/people/23/","https://swapi.dev/api/species/2/",n/a,n/a,Droid,sentient,indefinite
"https://swapi.dev/api/films/3/",brown,"https://swapi.dev/api/planets/7/","2014-12-20T21:36:42.155000Z","2014-12-18T11:22:00.285000Z","orange, brown",Ewokese,mammal,"https://swapi.dev/api/people/30/","https://swapi.dev/api/species/9/","white, brown, black",100,Ewok,sentient,unknown
"https://swapi.dev/api/films/1/;https://swapi.dev/api/films/2/;https://swapi.dev/api/films/3/;https://swapi.dev/api/films/4/;https://swapi.dev/api/films/5/;https://swapi.dev/api/films/6/","caucasian, black, asian, hispanic","https://swapi.dev/api/planets/9/","2014-12-20T21:36:42.136000Z","2014-12-10T13:52:11.567000Z","brown, blue, green, hazel, grey, amber","Galactic Basic",mammal,"https://swapi.dev/api/people/66/;https://swapi.dev/api/people/67/;https://swapi.dev/api/people/68/;https://swapi.dev/api/people/74/","https://swapi.dev/api/species/1/","blonde, brown, black, red",180,Human,sentient,120
"https://swapi.dev/api/films/1/;https://swapi.dev/api/films/3/","green, brown, tan","https://swapi.dev/api/planets/24/","2014-12-20T21:36:42.146000Z","2014-12-10T17:12:50.410000Z","yellow, red",Huttese,gastropod,"https://swapi.dev/api/people/16/","https://swapi.dev/api/species/5/",n/a,300,Hutt,sentient,1000
"https://swapi.dev/api/films/3/","red, blue, brown, magenta","https://swapi.dev/api/planets/31/","2014-12-20T21:36:42.153000Z","2014-12-18T11:09:52.263000Z",yellow,"Mon Calamarian",amphibian,"https://swapi.dev/api/people/27/","https://swapi.dev/api/species/8/",none,160,"Mon Calamari",sentient,unknown
"https://swapi.dev/api/films/1/","green, blue","https://swapi.dev/api/planets/23/","2014-12-20T21:36:42.144000Z","2014-12-10T17:05:26.471000Z",black,"Galatic Basic",sentient,"https://swapi.dev/api/people/15/","https://swapi.dev/api/species/4/",n/a,170,Rodian,reptilian,unknown
"https://swapi.dev/api/films/3/",pale,"https://swapi.dev/api/planets/33/","2014-12-20T21:36:42.157000Z","2014-12-18T11:26:20.103000Z",black,Sullutese,mammal,"https://swapi.dev/api/people/31/","https://swapi.dev/api/species/10/",none,180,Sullustan,sentient,unknown
"https://swapi.dev/api/films/2/","brown, green","https://swapi.dev/api/planets/29/","2014-12-20T21:36:42.151000Z","2014-12-15T13:07:47.704000Z","yellow, orange",Dosh,reptile,"https://swapi.dev/api/people/24/","https://swapi.dev/api/species/7/",none,200,Trandoshan,sentient,unknown
"https://swapi.dev/api/films/1/;https://swapi.dev/api/films/2/;https://swapi.dev/api/films/3/;https://swapi.dev/api/films/6/",gray,"https://swapi.dev/api/planets/14/","2014-12-20T21:36:42.142000Z","2014-12-10T16:44:31.486000Z","blue, green, yellow, brown, golden, red",Shyriiwook,mammal,"https://swapi.dev/api/people/13/;https://swapi.dev/api/people/80/","https://swapi.dev/api/species/3/","black, brown",210,Wookie,sentient,400
"https://swapi.dev/api/films/2/;https://swapi.dev/api/films/3/;https://swapi.dev/api/films/4/;https://swapi.dev/api/films/5/;https://swapi.dev/api/films/6/","green, yellow","https://swapi.dev/api/planets/28/","2014-12-20T21:36:42.148000Z","2014-12-15T12:27:22.877000Z","brown, green, yellow","Galactic basic",mammal,"https://swapi.dev/api/people/20/","https://swapi.dev/api/species/6/","brown, white",66,"Yoda's species",sentient,900
